Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-04-15,Black Mirror: Hotel Reverie,2025,https://boxd.it/9pQtX3,3.5,,,2025-04-15
2025-04-17,Black Mirror: Plaything,2025,https://boxd.it/9qw9vn,3.5,,,2025-04-16
2025-04-17,Black Mirror: Shut Up and Dance,2016,https://boxd.it/9qS4RR,4,Yes,,2025-04-17
2025-04-18,Black Mirror: White Christmas,2014,https://boxd.it/9rlW01,4,Yes,,2025-04-18
2025-04-18,Black Mirror: White Bear,2013,https://boxd.it/9rvPQf,3.5,Yes,,2025-04-18
2025-04-19,Black Mirror: The National Anthem,2011,https://boxd.it/9rwJqn,4,Yes,,2025-04-18
2025-04-19,Black Mirror: Playtest,2016,https://boxd.it/9rYxaj,3.5,Yes,,2025-04-18
2025-04-19,Black Mirror: Be Right Back,2013,https://boxd.it/9sctrN,3,Yes,,2025-04-19
2025-04-21,Drop,2025,https://boxd.it/9tjRGZ,2.5,,cinema,2025-04-20
2025-04-23,Us,2019,https://boxd.it/9uH961,4,,netflix,2025-04-22
2025-04-24,Super Size Me,2004,https://boxd.it/9uXlgz,3.5,,prime,2025-04-23
2025-04-26,Black Mirror: USS Callister,2017,https://boxd.it/9wyN7t,3,Yes,,2025-04-26
2025-04-27,Black Mirror: USS Callister – Into Infinity,2025,https://boxd.it/9wAWg9,3,,,2025-04-26
2025-04-27,Black Mirror: Eulogy,2025,https://boxd.it/9wC2rz,3.5,,,2025-04-26
2025-04-27,Make Me a Sandwich,2019,https://boxd.it/9wHpXX,1.5,,,2025-04-26
2025-04-27,Until Dawn,2025,https://boxd.it/9wVGar,1.5,,cinema,2025-04-26
2025-04-30,The Croods,2013,https://boxd.it/9yriy3,3.5,Yes,netflix,2025-04-28
2025-04-30,8½,1963,https://boxd.it/9yT67b,5,,infinity,2025-04-30
2025-05-03,The Father,2020,https://boxd.it/9Abs0h,4.5,,infinity,2025-05-02
2025-05-04,"The Legend of Al, John and Jack",2002,https://boxd.it/9AGmV9,3.5,,netflix,2025-05-03
2025-05-07,Conclave,2024,https://boxd.it/9CHkuv,4.5,,streaming,2025-05-06
2025-05-09,Mystic River,2003,https://boxd.it/9DH9wz,3.5,,prime,2025-05-08
